comment_text,argument_text,label
"I grew up with a Pledge that did not include under God in it. I was always happy to say that Pledge, which had great meaning for me.  However, somewhere along the way, under God was added and I then became embarrassed to say the Pledge because I thought that under God did not belong there. We are a country with the separation of church and state (thank God, because I believe in God) and for me, having under God in the Pledge belies that fact. If I am now ever in a situation that includes reciting the Pledge, I will of course do so but without saying those two words. The Pledge should belong to all of us and with the words under God in it, I do not think it does. Respectfully submitted.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I grew up with a Pledge that did not include under God in it. I was always happy to say that Pledge, which had great meaning for me.  However, somewhere along the way, under God was added and I then became embarrassed to say the Pledge because I thought that under God did not belong there. We are a country with the separation of church and state (thank God, because I believe in God) and for me, having under God in the Pledge belies that fact. If I am now ever in a situation that includes reciting the Pledge, I will of course do so but without saying those two words. The Pledge should belong to all of us and with the words under God in it, I do not think it does. Respectfully submitted.",Removing under god would promote religious tolerance,1
"I grew up with a Pledge that did not include under God in it. I was always happy to say that Pledge, which had great meaning for me.  However, somewhere along the way, under God was added and I then became embarrassed to say the Pledge because I thought that under God did not belong there. We are a country with the separation of church and state (thank God, because I believe in God) and for me, having under God in the Pledge belies that fact. If I am now ever in a situation that includes reciting the Pledge, I will of course do so but without saying those two words. The Pledge should belong to all of us and with the words under God in it, I do not think it does. Respectfully submitted.",Separation of state and religion,1
"I think the pre-1954 version was perfectly fine. The current version presses the idea that religion is neccacary into the minds of our children. Also, it is against the first amendment. Why should kids be forced to state that there is a god in the first place a statment which they might not believe in.",Separation of state and religion,1
"The words 'under God' were added at the height of the McCarthy era, and, given the constitutional requirement of the separation of Church and State, do not belong in the Pledge of Allegiance. Regardless of one's personal beliefs, the Constitution is the one document all Americans return to, and 'under God' is not part of that.",Separation of state and religion,1
"I'm quite on the line on this issue... I'm atheist, I'll admit that. But... I guess it comes down to this. The concept of God has been massively important in our nation's history. A lot of historical events would not have happened without religion fueling them. So, why not? Atheist or not, under God is a vital piece of the Pledge of Allegiance.",Under God is part of American tradition and history,1
"Atheism doesn't mean the absence of religion - it means the absence of a god in one's belief system.  Certain forms of Buddhism, for example are atheistic.  Therefore, requiring a statement of belief in a god is unconstitutionally preferring a majority religious belief over a minority one.  The point of the Pledge is to state allegiance to the flag and country.  If one believes in a god, there are many, many other forums in which to express that belief without imposing it on others.",Separation of state and religion,1
"I chose the con side based on my interpretation of the first amendments freedom of religion which states Congress may make no law respecting an establishment of religion. This means two things, the first being that the government shall not interfere with the church. But how can we do that if one religious interpretation is in the government? If we have a Christian based government, as the pledge implies, how can we be sure that the government will be fair to all beliefs? The best way is to keep church out of state. ",Separation of state and religion,1
"Yes I think we should leave thing alone in our Pledge of Allegiance.  Its bad enough they let so one that wasn't a Christian come in and take our rights away from us.  If they are not born in American, they shouldn't have any rights to change what our Four Father's start in American.  Since we took God out of school, our school is over run with children who doesn't listen or mind.  And people wonder why there is so many children shooting other children and adults.  This does include at school, in the street, in our neighborhoods.  Kids are not afraid of consequence for there actions.  Now we have adults who don't care what their children do to others.  People wonder why American is the way that it is.  Think about it.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I myself being Catholic believe that the words 'under God' should not be included in a pledge of allegiance to the flag of the United States. As is evident, the nation was based on ideals of religious freedom, and if somebody wishes to remain a patriot, pledging allegiance to their country, they should not be coerced to state something they don't believe to be true. Although a democratic government is based on majorities in the long run, in this case we very well may be violating the rights guaranteed to citizens via the Bill of Rights. The founding fathers, when constructing the constitution may have included references to their own religion, in this case Catholicism, but as we see a certain diversity being created in this past century, it is important to note that we as a nation should be more open to accept these different ideas to better suit all citizens. nnThat said, maybe it would have been easier to go along with the pledge that was first introduced which would have allowed for every citizen to feel their place in the country.",Removing under god would promote religious tolerance,1
"I myself being Catholic believe that the words 'under God' should not be included in a pledge of allegiance to the flag of the United States. As is evident, the nation was based on ideals of religious freedom, and if somebody wishes to remain a patriot, pledging allegiance to their country, they should not be coerced to state something they don't believe to be true. Although a democratic government is based on majorities in the long run, in this case we very well may be violating the rights guaranteed to citizens via the Bill of Rights. The founding fathers, when constructing the constitution may have included references to their own religion, in this case Catholicism, but as we see a certain diversity being created in this past century, it is important to note that we as a nation should be more open to accept these different ideas to better suit all citizens. nnThat said, maybe it would have been easier to go along with the pledge that was first introduced which would have allowed for every citizen to feel their place in the country.",Separation of state and religion,1
"This nation could not and would not be here without a God. England was one of the strongest countries in the world at the time of the revolution. There is no possible way that a few rebels could beat a world power and become their own country. Our forefathers knew God. Our forefathers knew that God had helped them and would continue to bless this country so they decided to put God into several things including the Constitution and our Pledge of Allegiance. This is one nation, and it is still under God.",Under God is part of American tradition and history,1
I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that's why the phrase was added to the pledge. I am tired of the Freedoms our country was founded on being taken away by the few morons who cannot understand that there is something better then them. What are you so afraid of that you need to attack the foundation of our world.,Likely to be seen as a state-sanctioned condemnation of religion,1
I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that,"The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that's why the phrase was added to the pledge. I am tired of the Freedoms our country was founded on being taken away by the few morons who cannot understand that there is something better then them. What are you so afraid of that you need to attack the foundation of our world.,Under God is part of American tradition and history,1
I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that,Separation of state and religion,1
This country was founded under God and should stay under God,Under God is part of American tradition and history,1
"America was most definitely NOT founded on religion, let alone monotheism. Every argument I have ever heard supporting religious reference in the Pledge has been, quite frankly, nonsensical. We're a secular nation, so we should have a secular Pledge.",Separation of state and religion,1
"The so-called Under God part wasn't in the constitution until 1954 or so, when the fear of communism was around. Nothing more, and it is absurd that they put it in there to begin with, especially since there are people who don't believe, and don't care about that. Why Eisenhower did that, no idea, but I bet he didn't believe it either, it was more for purposes of propaganda, when in reality, it was a sham. As far as the constitution goes, it was put in, but people are too afraid to revert to the original. And for those who don't believe, why force it into their vocabulary, right? It would be best to let the PERSON decide if they want to say that part. It doesn't matter if you are a believer or not, since this is the land of the free, we have the right to say under god, or not to. The people should make the choice to say under god, or under the nation, or the USA. After all, our founding fathers left their country, because they wanted freedom. Shouldn't freedom be on ALL levels? If so, then we shouldn't worry about something as trivial as putting under god in the pledge. It is a choice to say under god or not.",Removing under god would promote religious tolerance,1
"The so-called Under God part wasn't in the constitution until 1954 or so, when the fear of communism was around. Nothing more, and it is absurd that they put it in there to begin with, especially since there are people who don't believe, and don't care about that. Why Eisenhower did that, no idea, but I bet he didn't believe it either, it was more for purposes of propaganda, when in reality, it was a sham. As far as the constitution goes, it was put in, but people are too afraid to revert to the original. And for those who don't believe, why force it into their vocabulary, right? It would be best to let the PERSON decide if they want to say that part. It doesn't matter if you are a believer or not, since this is the land of the free, we have the right to say under god, or not to. The people should make the choice to say under god, or under the nation, or the USA. After all, our founding fathers left their country, because they wanted freedom. Shouldn't freedom be on ALL levels? If so, then we shouldn't worry about something as trivial as putting under god in the pledge. It is a choice to say under god or not.",Separation of state and religion,1
"I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.",Separation of state and religion,1
"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",Removing under god would promote religious tolerance,1
"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",Separation of state and religion,1
"It's been there for almost 60 years, and there isn't a strong enough argument to remove it now.  Even if it was thought that there are fewer Christians than before, we were founded by Christians, it guided our founding fathers toward what created our country, and it should remain out of respect and accurate representation of where we came from.",Under God is part of American tradition and history,1
"I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.",Likely to be seen as a state-sanctioned condemnation of religion,1
"I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.",Removing under god would promote religious tolerance,1
"I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.",Separation of state and religion,1
I,Separation of state and religion,1
"The United States of America has been and still is a nation under God.  As a nation, we would not have enjoyed the freedom that we have had if it were not for God and those who believe in someone greater than themselves.  We pray and seek guidance from God for our leaders, neighbors, families, friends and yes, even our enemies.   We, as human beings are not perfect, yet, we can continue to strive to improve ourselves and our neighbors, through unconditional love along with a strong belief in God.  Americans should never forget that God has blessed us abundantly, but we could lose everything when we begin to believe that we did it on our own.  We can learn from other nations and people, who left God out of their lives or erased God from their memories.  I'm not sure what NBC was thinking when they had children reciting the Pledge of Allegiance as a version minus under God. Since when do we practice such misuse of the airwaves by offering an incorrect version of our Pledge of Allegiance?  What message does that send to our children, who are the future leaders of this nation.  We must retain under God in our pledge of allegiance!",Under God is part of American tradition and history,1
The word God does not appear in our constitution.  There is a good reason ... from history.  The thirteen colonies were settled from England.  Many of the settlers were fleeing the Church of England.   When one or even a group of religions get a foot hold it tends expand its power by legislating its beliefs which always seems to effects the folk who have a different belief set.  Keep it simple and leave good out of our government documents.  There is a big difference between being a nation of Christians and a Christian nation..,Separation of state and religion,1
"In America, there is a separation of church and state. That means that the people in charge CANNOT use religion in any of their laws/decisions. Believing in a religion is NOT required in America. Also, the under god in the pledge indicates a single god. What if you believe in many gods? What if you believe in an unbiased power? I believe in a god, however, I do not believe that under god needs to be in the pledge. If you are an atheist, cannot pledge to a nation under god, because to you it does not exist. A theist however, can pledge to a nation. Don't you agree?",Separation of state and religion,1
"What if someone in school is part of a religion that doesn't believe in god? What if the teachers force them to say it? Even ENCOURAGING it in a public school, is by definition, against the law, as you aren't allowed to preach religion in public schools!",Separation of state and religion,1
"Theocracy is in our midst---7.US churches have been tax-exempt for over 200 years, yet there are no signs that America has become a theocracy. (Hello?) If the tax exemption were a serious threat to the separation of church and state, the US government would have succumbed to religious rule long ago. (More reason for Churches and Church Related organizations to be penalized for raising funds and waging campaigns with Civil outcomes) As the Supreme Court ruled in Walz v. Tax Commission of the City of New York (1970), freedom from taxation for two centuries has not led to an established church or religion, and, on the contrary, has helped to guarantee the free exercise of all forms of religious belief. [18]How about Spiritual but non-Religious beliefs Sir?) The Holy Roman Ctholic Church (Official name of Corporation) distances itself from its Priesthood by making clergy Contractors, not paying Social Security for them, making them pay income taxes and including as Income living in the Rectory where they are forced to reside.",Separation of state and religion,1
"I thought that our great country was based on the foundation of it is up to you to believe in whatever you choose to, not what other people force upon you. I myself for example do not say under god for personal reasons, i instead say under canada because it is still true and makes sense. We need to go back to the time when people were alowed a free opinion wether it be in the black, white, gray, or where ever area you want, even your own. Basicaly i think we should not be forced to say it, we should only say it if we choose to, so i believe it should be removed.",Separation of state and religion,1
Well I am one of the people who support one nation under God being in the Pledge of allegiance. Whether some people like it or not there is no denying that the founding of our country was majorly based on a belief in God and relying on Him for help and guidance. And the separation of Church and State is actually not in the Constitution but in a letter that Thomas Jefferson wrote to a church to reassure them that the GOVERNMENT couldn't make laws about the CHURCH not that the Church couldn't be involved in the Government. There is a difference.,Under God is part of American tradition and history,1
Well I am one of the people who support one nation under God being in the Pledge of allegiance. Whether some people like it or not there is no denying that the founding of our country was majorly based on a belief in God and relying on Him for help and guidance. And the separation of Church and State is actually not in the Constitution but in a letter that Thomas Jefferson wrote to a church to reassure them that the GOVERNMENT couldn't make laws about the CHURCH not that the Church couldn't be involved in the Government. There is a difference.,Separation of state and religion,1
"Although it cannot be proven whether or not god exists, it is wrong to have the children pledging their allegiance under a deity. Even though more than half the population is very religous, we should give the children a chance to develop their own beliefs.",Separation of state and religion,1
"Wow.. there are soo many uneducated comments.. Our country  was not founded on religion, it was founded on the beliefs of Europe and such. The under god stuff in our pledges and on our money does not mean anything it is just there; and for those who are against religion or the views of them there is no reason you should be feeling  offended  or thinking that this under god stuff has anything to impose on you.  A lot of people are led to believe things and not think for oneself for they fear the unknown.What i don't understand is how people accept crap like sex before marriage, same sex couples, obesity in children, i'll even toss in the little bigotry people who label others ( like myself) as bigots for not accepting others views and disregarding my own( which I do accept others opinions and such just I do not toss out my won). Yet when you hear someone say  Amen, Thank God They get a disgusting look upon their face. Like why do people feel it is okay to hate god or a person who has strong religious values just because you do not agree with them? And for all those saying state and church are separate :) foolishness! It may say so in the Constitution and such but it is not fully true. Many churches support governments.",Separation of state and religion,1
under god implies that the nation as a whole follows this god if you do not follow god then are you excluded from the nation?,Implies ultimate power on the part of the state,1
under god implies that the nation as a whole follows this god if you do not follow god then are you excluded from the nation?,Separation of state and religion,1
"Why not Gods, plural? Why not Goddess or Goddesses? The singular denotation of God in such a pledge shows a bias toward a monotheistic, patriarchal faith. If we are truly enlightened enough to respect the freedom of worshiping (or not) as we choose, then we must not be so specific.",Separation of state and religion,1
I am against it because I am Buddhist so I therefore do not believe in God and also I strongly believe in separation of church and state,Separation of state and religion,1
"It's giving a point of Christianity. I believe in God myself but I don't see the reason of stating God in our nations anthem. Many Americans want to show their full AMERICAN spirit, but some people just don't believe in God. This country is of religious rights, giving us the right to believe in what we believe but shouldn't we get to say it in such a big deal as the national anthem?",Removing under god would promote religious tolerance,1
"It's giving a point of Christianity. I believe in God myself but I don't see the reason of stating God in our nations anthem. Many Americans want to show their full AMERICAN spirit, but some people just don't believe in God. This country is of religious rights, giving us the right to believe in what we believe but shouldn't we get to say it in such a big deal as the national anthem?",Separation of state and religion,1
"Separation of church and state, nothing more needs to be said.",Separation of state and religion,1
Our country was founded under GOD. And under GOD should stay in the US Pledge of Allegiance.,Under God is part of American tradition and history,1
"It should be taken out. This is NOT a christian nation and it was NOT founded for christian purposes. Even christopher columbus wasn't christian, he was catholic and George washington (a founding father) was Episcopalian (or protestant). You can make your typical assumptions that no one is offended by it, but have you really put in the effort to ask? I think the religious people would be more offended if it didn't mean anything, majority can't just have their way. This a secular nation and apparently this is an exception.",Likely to be seen as a state-sanctioned condemnation of religion,1
"It should be taken out. This is NOT a christian nation and it was NOT founded for christian purposes. Even christopher columbus wasn't christian, he was catholic and George washington (a founding father) was Episcopalian (or protestant). You can make your typical assumptions that no one is offended by it, but have you really put in the effort to ask? I think the religious people would be more offended if it didn't mean anything, majority can't just have their way. This a secular nation and apparently this is an exception.",Separation of state and religion,1
"This phrase completely overthrows what the Constitution states. it's completely segregtional and shows disrespect to those who are athiest and/or do not have Christian beliefs. Some may take it lightly,  but the Pledge of Alligence is not solemly generalized to those who believe in God, but also to those American Citizens.",Likely to be seen as a state-sanctioned condemnation of religion,1
"This phrase completely overthrows what the Constitution states. it's completely segregtional and shows disrespect to those who are athiest and/or do not have Christian beliefs. Some may take it lightly,  but the Pledge of Alligence is not solemly generalized to those who believe in God, but also to those American Citizens.",Separation of state and religion,1
"Not every American citizen believes in God. The words Under God are pretty much forcing this belief upon everyone, which in itself is unconstitutional.",Separation of state and religion,1
"This line seriously needs to be removed. The way I look at it, this line excludes everyone who isn't calling this 'higher power' God. Now, being an athiest, I guess I have a more bias opinion, but this line is basically stating only the people calling this higher power 'God' are included as patriots, and this line violates our first amendment rights. why is this line still here? or better yet, why was it added in the first place?",Separation of state and religion,1
"I am pro for the simple fact that we live in a country where 80% of the people claim to be Christian. As Christians it seems as though we have turned our backs on Jesus and his teachings. We have allowed the Lord to be taken out of almost every aspect including the Happy Holiday wishes from Wal*Mart greeters. It's time to take a stand for what we believe, Christians; UNDER GOD should stay in out Pledge!","The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
"No it should not be in the Pledge, the country was brought together on freedom of religion.",Separation of state and religion,1
"The words Under God shouldn't be in the pledge because although we are one nation, not everybody wants to be under  god and not everybody believes in god. This goes against the constitution and forces religion on the citizens.",Likely to be seen as a state-sanctioned condemnation of religion,1
"The words Under God shouldn't be in the pledge because although we are one nation, not everybody wants to be under  god and not everybody believes in god. This goes against the constitution and forces religion on the citizens.",Removing under god would promote religious tolerance,1
"The words Under God shouldn't be in the pledge because although we are one nation, not everybody wants to be under  god and not everybody believes in god. This goes against the constitution and forces religion on the citizens.",Separation of state and religion,1
"No, of course not. The original one was good enough.  The insertion of Under God between Our nation and indivisible is symbolic of how religion divides this country.",Likely to be seen as a state-sanctioned condemnation of religion,1
"No, of course not. The original one was good enough.  The insertion of Under God between Our nation and indivisible is symbolic of how religion divides this country.",Separation of state and religion,1
It always has been. God has been apart of our country since our founding fathers had created it. As the country started pushing God away it has been slowly declining. I believe since it is an act of tradition upon the founding of our own country it should be kept in the pledge. Changing it would be complete ludacris.,Under God is part of American tradition and history,1
"Since it is a governmental thing, then no.  I'm OK with it being there, though.  It's a bit of a trivial matter.  Where does NBC get of censoring what was supposed to be a newscast?",Separation of state and religion,1
"No.  Those words were intentionally left out by the Founders of this Nation and not inserted until the 1950's, I believe.  By inserting those words, we breach the separation of church and state, ostracize citizens who don't believe in a god, and essentially turn this into a 'Christian' nation.  The colonists emigrated from their homelands to get away from religious persecution and 'religious slavery'.  The words under God were intentionally left out, wrongfully inserted, and should be removed to return us to the American way.",Likely to be seen as a state-sanctioned condemnation of religion,1
"Those words were intentionally left out by the Founders of this Nation and not inserted until the 1950's, I believe.  By inserting those words, we breach the separation of church and state, ostracize citizens who don't believe in a god, and essentially turn this into a 'Christian' nation.  The colonists emigrated from their homelands to get away from religious persecution and 'religious slavery'.  The words under God were intentionally left out, wrongfully inserted, and should be removed to return us to the American way.",Separation of state and religion,1
"Absolutely not, faith in a God should be completely personal. There should never be anything, i.e. money, constitution, pledge etc that has God anywhere on it. Faith is a choice, atheisim or being agnostic is a choice. I shouldn't have to believe in god, just as you shouldn't have to not believe in god. And I shouldn't be forced to say it in a pledge or see it in the constitution or see it on every dollar bill. To me the idea of God is ridiculous, but to the faithful he is real. Either way, this is completely personal and a personal choice. It's called freedom.",Separation of state and religion,1
"The words under god should not be aloud in the pledge. It is a direct violation to the church-state seperation and our freedom of religion. Saying those words is simply and honestly stating that we are ONE NATION UNDER GOD. In fact, we are not at all. And yes we could just not say it, but speaking from a student's point of view, it makes me very uncomfortable to stay seated because I have no belief in a god.( or just stand and say nothing, etc..)  And, also, it doesn't make it right just because most of the united states is a deity believer. If most americans thought it would be cool to kill a bunch of African Americans.... you can't do it. if a majority wants to violate our religious rights... you cant do it.",Separation of state and religion,1
"I we weren't One nation under God we would be one nation lost forever. We would lose all sight of what our country was built upon. The Pledge of Allegiance was written during a time of hope and inspiration, and it is historical. It should not be changed, or it will change us.",Under God is part of American tradition and history,1
"Private schools should be allowed to require students to 1) Study creation science 2) Sacrifice goats to Shiva 3) Pledge allegiance to the god of christian mythology.  Public schools, funded by taxpayer dollars, sadly, are not allowed to require these Bronze Age rituals:  Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.  Damn constitution!",Separation of state and religion,1
"Since the majority of the people in America believe in either the Jewish, Christian, or Muslim faith, and it is the majority who get to have a say, with respect to the rights of the minority, of course, the answer is a simple Yes, because first of all, this nation was founded by people who believed in the God of the Christian religion, which happens also to be the same God of the Jews, and of the Muslims.  A simple lesson in history confirms that the Jews believed in the God of Abraham, Isaac, and Jacob; the Christian religion came out of the Jewish faith and added the teachings, life, and purpose of Jesus Christ but also held to the God of Abraham, and the Muslim, who calls him Allah, also believes in the God of Abraham.  So, since the majority believe and hope that this nation, under God, is indivisible and provides liberty and justice for all, notable tenets of all three major faiths, the phrase should stand.",Under God is part of American tradition and history,1
"God should be everywhere in our great America.  Whether it\'s on our money, in our Pledge, prayers in school, saying Merry Christmas, the nativity scene, crosses in all cemeteries, sayings on our historical buildings.  ALL OF IT.  This United States was built on God\'s love belief.  It should always be that way.",Under God is part of American tradition and history,1
"A pledge is something you should say only if you mean it. That is the whole purpose of a pledge or an oath. So the words Under God immediately undermine the promise someone has made if they worship multiple gods, Goddess, no god, a whole pantheon, or any deity that does not go by the name of God.  If I'm going to pledge to my country, I want to mean every word I say, and I can't if I do not believe in/worship God",Likely to be seen as a state-sanctioned condemnation of religion,1
"The pledge was written by a Baptist minister, who was also a socialist, in 1892. It was intended as a pledge of loyalty to the symbol of the United States and, therefore, the nation it represents. It included the notion that those who pledge are united in their respect for and support of the country. Adding under God indicates the person is also expressing loyalty to God as well, thus seriously diminishing the intent and impact of the original document. It certainly undermines the indivisible part. What's most important, is to do everything possible to ensure our government is secular. The Bush years have given us a glimpse of just how damaging a faith-based government can be.",Separation of state and religion,1
"If you go up to an al-queda member and say Hey you, God doesn't exist. Your bombing buddies died for nothing and you stand for nothing, you'll get killed. Since the Holocausts, no one really wants to try to make fun of Jewish people or do anything to offend them in general. Not that they don't have a good reason, as it was a terrible thing. So we link this statement with the Christian God. However, when you say this, you are mocking Jews and Muslims as if their belief of God is inferior and not a threat to be dealt with. Seperation of church and state. Hey buddy, WHICH ONE! Why do we not act like the God said isn't one respected by all other religions. Athesism is not a religion, it is the absence of religion. Therefore, in no way is this a violation of the first Amendment as it includes all religions. Even polytheistic religions believe that their gods come together to form God.",Separation of state and religion,1
"We are wasting our time trying to remove every glimpse of faith and heritage from this nation. 52 of the 55 signers of the Declaration of Independence were church members and Christians. Get over it! It is completely ridiculous to cater to the minority the way this nation has become so famous for doing. Listen, 82% of Americans say they believe in God. If you don't, don't say under God, but leave the other 82% alone.","The principles of democracy regulate that the wishes of American Christians, who are a majority, are honored",1
"We are wasting our time trying to remove every glimpse of faith and heritage from this nation. 52 of the 55 signers of the Declaration of Independence were church members and Christians. Get over it! It is completely ridiculous to cater to the minority the way this nation has become so famous for doing. Listen, 82% of Americans say they believe in God. If you don't, don't say under God, but leave the other 82% alone.",Under God is part of American tradition and history,1
