id,comment_text,argument_text,label
414721705arg3,"Yes I think we should leave thing alone in our Pledge of Allegiance.  Its bad enough they let so one that wasn't a Christian come in and take our rights away from us.  If they are not born in American, they shouldn't have any rights to change what our Four Father's start in American.  It would be different if our Four Father's knew about the way American turned out to be.  Since we took God out of school, our school is over run with children who doesn't listen or mind.  And people wonder why there is so many children shooting other children and adults.  This does include at school, in the street, in our neighborhoods.  Kids are not afraid of consequence for there actions.  Now we have adults who don't care what their children do to others.  People wonder why American is the way that it is.  Think about it.",Under God  is part of American tradition and history,4
414721893arg6,"I myself being Catholic believe that the words 'under God' should not be included in a pledge of allegiance to the flag of the United States. As is evident, the nation was based on ideals of religious freedom, and if somebody wishes to remain a patriot, pledging allegiance to their country, they should not be coerced to state something they don't believe to be true. Although a democratic government is based on majorities in the long run, in this case we very well may be violating the rights guaranteed to citizens via the Bill of Rights. The founding fathers, when constructing the constitution may have included references to their own religion, in this case Catholicism, but as we see a certain diversity being created in this past century, it is important to note that we as a nation should be more open to accept these different ideas to better suit all citizens. nnThat said, maybe it would have been easier to go along with the pledge that was first introduced which would have allowed for every citizen to feel their place in the country.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
414721645arg1,church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,Separation of state and religion,5
414721645arg2,church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,Removing under god would promote religious tolerance,4
414721946arg3,I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that's why the phrase was added to the pledge. I am tired of the Freedoms our country was founded on being taken away by the few morons who cannot understand that there is something better then them. What are you so afraid of that you need to attack the foundation of our world.,Under God  is part of American tradition and history,5
414721944arg1,This country was founded under God and should stay under God.,Separation of state and religion,1
414721944arg3,This country was founded under God and should stay under God.,Under God  is part of American tradition and history,5
414721724arg3,I am whole hardly in favor of having Under God in the Pledge of Allegiance. We are a Christian nation founded on Biblical values since our inception. We must remain a Christian nation always and never stand devided as what is happening lately. We must value our Christian heritage and teach them to our children and grandchildren. The Aithiests have thier opinion but they are completely wrong in their way of thinking and they can`t change the fact that we were founded with Biblical values in the forefront by our founding father`s and they can`t change that no matter what they say. Thier opinion is flawed and they need the prayers of the Christian community so they can have a change of heart and let the light of Jesus to shine in their hearts and not oppose our Christian values and heritage and unite with us in a common cause to save the moral values of our nation or our nation will be lost to immorality and perversion with no sense of right and wrong.,Under God  is part of American tradition and history,5
414721867arg1,"America was most definitely NOT founded on religion, let alone monotheism. Every argument I have ever heard supporting religious reference in the Pledge has been, quite frankly, nonsensical. We're a secular nation, so we should have a secular Pledge.",Separation of state and religion,5
414721867arg3,"America was most definitely NOT founded on religion, let alone monotheism. Every argument I have ever heard supporting religious reference in the Pledge has been, quite frankly, nonsensical. We're a secular nation, so we should have a secular Pledge.",Under God  is part of American tradition and history,1
414721862arg1,"I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.",Separation of state and religion,4
414721862arg2,"I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.",Removing under god would promote religious tolerance,4
414721659arg1,"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",Separation of state and religion,5
414721659arg3,"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",Under God  is part of American tradition and history,2
414721712arg3,"It's been there for almost 60 years, and there isn't a strong enough argument to remove it now.  Even if it was thought that there are fewer Christians than before, we were founded by Christians, it guided our founding fathers toward what created our country, and it should remain out of respect and accurate representation of where we came from.",Under God  is part of American tradition and history,5
414721758arg6,"I understand why people want that phrase in there, I do. At the same time however, how in our day and age, with such a diverse group of subcultures within our great country, can we allow something that blatantly disregards all other deities believed in by other Americans? Yes, the majority of Americans may believe in Catholicism and thus not have a problem with the phrase, but being selfless for a second, instead of self-centered, taking those two words out makes a bit of a difference to those who do not believe in that specific deity or any at all. And if we're being honest, why does it matter so much to keep it in?      Some might think, I want it in because I am a devout Christian (or whatever) and I want to represent that in my daily life. But, you know what, that's what churches and other places of worship are for.      Last time I checked, being proud to be an American meant being proud to embrace everything America is built on, namely diversity. We are supposed to be a melting pot of cultures, but with such a phrase, how can we call ourselves truly diverse? I do not think it is bad, just with all of the different religions (and lack there of) it is out of date.",America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721845arg1,I'm a cathloic but after reading the history I believe We are trampling upon the 1st amendment.,Separation of state and religion,5
414721870arg1,The word God does not appear in our constitution.  There is a good reason ... from history.  The thirteen colonies were settled from England.  Many of the settlers were fleeing the Church of England.   When one or even a group of religions get a foot hold it tends expand its power by legislating its beliefs which always seems to effects the folk who have a different belief set.  Keep it simple and leave good out of our government documents.  There is a big difference between being a nation of Christians and a Christian nation..,Separation of state and religion,5
414721870arg3,The word God does not appear in our constitution.  There is a good reason ... from history.  The thirteen colonies were settled from England.  Many of the settlers were fleeing the Church of England.   When one or even a group of religions get a foot hold it tends expand its power by legislating its beliefs which always seems to effects the folk who have a different belief set.  Keep it simple and leave good out of our government documents.  There is a big difference between being a nation of Christians and a Christian nation..,Under God  is part of American tradition and history,1
414721914arg6,"In America, there is a separation of church and state. That means that the people in charge CANNOT use religion in any of their laws/decisions. Believing in a religion is NOT required in America. Also, the under god in the pledge indicates a single god. What if you believe in many gods? What if you believe in an unbiased power? I believe in a god, however, I do not believe that under god needs to be in the pledge. If you are an atheist, you cannot pledge to a nation under god, because to you it does not exist. A theist however, can pledge to a nation. Don't you agree?",America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721796arg6,"Its apart of the pledge. You are not required to say it. And if you don't want to say it, DON'T! People are really making a huge deal because the pledge says Under God Well if you don't agree with it don't say it. It should'nt be changed for a few athiest out there. If they take it out its going to make a lot more people mad then angry.",America is based on democracy and the pledge should reflect the belief of the American majority.,5
414721670arg1,"NO. What if someone in school is part of a religion that doesn't believe in god? What if the teachers force them to say it? Even ENCOURAGING it in a public school, is by definition, against the law, as you aren't allowed to **preach** religion in public schools!",Separation of state and religion,5
414721674arg1,"It's a con because America is supposed to be free to religion. I'm not saying it's not, but still. If a person from another race says the pledge at school or hears it at work everyday, they might get offended.",Separation of state and religion,5
414721674arg2,"It's a con because America is supposed to be free to religion. I'm not saying it's not, but still. If a person from another race says the pledge at school or hears it at work everyday, they might get offended.",Removing under god would promote religious tolerance,4
414721866arg1,"Theocracy is in our midst---7.US churches have been tax-exempt for over 200 years, yet there are no signs that America has become a theocracy.(Hello?) If the tax exemption were a serious threat to the separation of church and state, the US government would have succumbed to religious rule long ago. (More reason for Churches and Church Related organizations to be penalized for raising funds and waging campaigns with Civil outcomes) As the Supreme Court ruled in Walz v. Tax Commission of the City of New York (1970), freedom from taxation for two centuries has not led to an established church or religion, and, on the contrary, has helped to guarantee the free exercise of all forms of religious belief. [18]How about Spiritual but non-Religious beliefs Sir?) The Holy Roman Ctholic Church (Official name of Corporation) distances itself from its Priesthood by making clergy Contractors, not paying Social Security for them, making them pay income taxes and including as Income living in the Rectory where they are forced to reside.",Separation of state and religion,4
414721930arg1,Well I am one of the people who support one nation under God being in the Pledge of allegiance. Whether some people like it or not there is no denying that the founding of our country was majorly based on a belief in God and relying on Him for help and guidance. And the separation of Church and State is actually not in the Constitution but in a letter that Thomas Jefferson wrote to a church to reassure them that the GOVERNMENT couldn't make laws about the CHURCH not that the Church couldn't be involved in the Government. There is a difference.,Separation of state and religion,2
414721930arg3,Well I am one of the people who support one nation under God being in the Pledge of allegiance. Whether some people like it or not there is no denying that the founding of our country was majorly based on a belief in God and relying on Him for help and guidance. And the separation of Church and State is actually not in the Constitution but in a letter that Thomas Jefferson wrote to a church to reassure them that the GOVERNMENT couldn't make laws about the CHURCH not that the Church couldn't be involved in the Government. There is a difference.,Under God  is part of American tradition and history,5
414721865arg1,"Although it cannot be proven whether or not god exists, it is wrong to have the children pledging their allegiance under a deity. Even though more than half the population is very religous, we should give the children a chance to develop their own beliefs.",Separation of state and religion,4
414721938arg1,"Wow.. there are soo many uneducated comments.. Our country  was not founded on religion, it was founded on the beliefs of Europe and such. The under god stuff in our pledges and on our money does not mean anything it is just there; and for those who are against religion or the views of them there is no reason you should be feeling  offended  or thinking that this under god stuff has anything to impose on you.  A lot of people are led to believe things and not think for oneself for they fear the unknown.What i don't understand is how people accept crap like sex before marriage, same sex couples, obesity in children, i'll even toss in the little bigotry people who label others ( like myself) as bigots for not accepting others views and disregarding my own( which I do accept others opinions and such just I do not toss out my won). Yet when you hear someone say  Amen, Thank God They get a disgusting look upon their face. Like why do people feel it is okay to hate god or a person who has strong religious values just because you do not agree with them? And for all those saying state and church are separate :) foolishness! It may say so in the Constitution and such but it is not fully true. Many churches support governments.",Separation of state and religion,2
414721651arg1,under god implies that the nation as a whole follows this god if you do not follow god then are you excluded from the nation?,Separation of state and religion,4
414721651arg2,under god implies that the nation as a whole follows this god if you do not follow god then are you excluded from the nation?,Removing under god would promote religious tolerance,4
414721646arg2,"Why not Gods, plural? Why not Goddess or Goddesses? The singular denotation of God in such a pledge shows a bias toward a monotheistic, patriarchal faith. If we are truly enlightened enough to respect the freedom of worshiping (or not) as we choose, then we must not be so specific.",Removing under god would promote religious tolerance,4
414721847arg1,I am against it because I am Buddhist so I therefore do not believe in God and also I strongly believe in separation of church and state,Separation of state and religion,5
414721981arg6,I am tired of the atheists in this country. Our country was founded on the premise of One Nation Under God and that's why the phrase was added to the pledge. I am tired of the Freedoms our country was founded on being taken away by the few morons who cannot understand that there is something better then them. What are you so afraid of that you need to attack the foundation of our world.,America is based on democracy and the pledge should reflect the belief of the American majority.,4
414721985arg6,Our Government has been founded on Christian values. The first Founder`s of our Natian were Christian Ministers. The Core principles of the Bible permiate are entire Government. Our most important documents have wording that come from the Bible. Our morality and the Justice system are based on The Ten Commandments. We are a Christian Nation to the Core Roots and always will be if we want to remain a Free Democratic Nation.,America is based on democracy and the pledge should reflect the belief of the American majority.,4
414721902arg6,"I do not think that it is appropriate to have the phrase Under God in the United States of America Pledge. I do not think this because I have anything against Christianity or God, I simply think that, seeing as America was created for religious freedom, we should not expect our citizens to pledge themselves to a god that they may or may not believe in.",America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721761arg6,"It should be taken out. This is NOT a christian nation and it was NOT founded for christian purposes. Even christopher columbus wasn't christian, he was catholic and George washington (a founding father) was Episcopalian (or protestant). You can make your typical assumptions that no one is offended by it, but have you really put in the effort to ask? I think the religious people would be more offended if it didn't mean anything, majority can't just have their way. This a secular nation and apparently this is an exception.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
414721695arg1,"This phrase completely overthrows what the Constitution states. it's completely segregtional and shows disrespect to those who are athiest and/or do not have Christian beliefs. Some may take it lightly,  but the Pledge of Alligence is not solemly generalized to those who believe in God, but also to those American Citizens.",Separation of state and religion,5
414721695arg2,"This phrase completely overthrows what the Constitution states. it's completely segregtional and shows disrespect to those who are athiest and/or do not have Christian beliefs. Some may take it lightly,  but the Pledge of Alligence is not solemly generalized to those who believe in God, but also to those American Citizens.",Removing under god would promote religious tolerance,4
414721653arg1,"Not every American citizen believes in God. The words Under God are pretty much forcing this belief upon everyone, which in itself is unconstitutional.",Separation of state and religion,5
414721653arg2,"Not every American citizen believes in God. The words Under God are pretty much forcing this belief upon everyone, which in itself is unconstitutional.",Removing under god would promote religious tolerance,4
414721929arg3,"I am not bothered by under God but by the highfalutin christians that do not realize that phrase was NEVER in the original pledge - it was not added until 1954. So stop being so pompous and do not offend my parents and grandparents who NEVER used under God when they said the pledge.  Let it stay, but know the history of the Cold War and fear of communism.",Under God  is part of American tradition and history,1
414721702arg1,"Absolutely, this is part of America, not to mention 76-80% of U.S. citizens are Christian and believe in God.",Separation of state and religion,2
414721702arg3,"Absolutely, this is part of America, not to mention 76-80% of U.S. citizens are Christian and believe in God.",Under God  is part of American tradition and history,5
414721860arg1,"This line seriously needs to be removed. The way I look at it, this line excludes everyone who isn't calling this 'higher power' God. Now, being an athiest, I guess I have a more bias opinion, but this line is basically stating only the people calling this higher power 'God' are included as patriots, and this line violates our first amendment rights. why is this line still here? or better yet, why was it added in the first place?",Separation of state and religion,5
414721860arg2,"This line seriously needs to be removed. The way I look at it, this line excludes everyone who isn't calling this 'higher power' God. Now, being an athiest, I guess I have a more bias opinion, but this line is basically stating only the people calling this higher power 'God' are included as patriots, and this line violates our first amendment rights. why is this line still here? or better yet, why was it added in the first place?",Removing under god would promote religious tolerance,5
414721931arg1,"The words 'under God' should not be removed from the Pledge of Allegiance. Reason being, this country was founded on religion and has stayed that way since it has started in retaliation to 'it's forcing religion' just because we have to say it doesn't mean we have to believe it.",Separation of state and religion,2
414721931arg3,"The words 'under God' should not be removed from the Pledge of Allegiance. Reason being, this country was founded on religion and has stayed that way since it has started in retaliation to 'it's forcing religion' just because we have to say it doesn't mean we have to believe it.",Under God  is part of American tradition and history,5
414721728arg1,"The United States of America has been and still is a nation under God.  As a nation, we would not have enjoyed the freedom that we have had if it were not for God and those who believe in someone greater than themselves.  We pray and seek guidance from God for our leaders, neighbors, families, friends and yes, even our enemies.   We, as human beings are not perfect, yet, we can continue to strive to improve ourselves and our neighbors, through unconditional love along with a strong belief in God.  Americans should never forget that God has blessed us abundantly, but we could lose everything when we begin to believe that we did it on our own.  Should that happen, it would be a sad commentary.  We can learn from other nations and people, who left God out of their lives or erased God from their memories.  I'm not sure what NBC was thinking when they had children reciting the Pledge of Allegiance as a version minus under God. Since when do we practice such misuse of the airwaves by offering an incorrect version of our Pledge of Allegiance?  What message does that send to our children, who are the future leaders of this nation.  We must retain under God in our pledge of allegiance!",Separation of state and religion,2
414721728arg3,"The United States of America has been and still is a nation under God.  As a nation, we would not have enjoyed the freedom that we have had if it were not for God and those who believe in someone greater than themselves.  We pray and seek guidance from God for our leaders, neighbors, families, friends and yes, even our enemies.   We, as human beings are not perfect, yet, we can continue to strive to improve ourselves and our neighbors, through unconditional love along with a strong belief in God.  Americans should never forget that God has blessed us abundantly, but we could lose everything when we begin to believe that we did it on our own.  Should that happen, it would be a sad commentary.  We can learn from other nations and people, who left God out of their lives or erased God from their memories.  I'm not sure what NBC was thinking when they had children reciting the Pledge of Allegiance as a version minus under God. Since when do we practice such misuse of the airwaves by offering an incorrect version of our Pledge of Allegiance?  What message does that send to our children, who are the future leaders of this nation.  We must retain under God in our pledge of allegiance!",Under God  is part of American tradition and history,5
414721874arg1,"In America, there is a separation of church and state. That means that the people in charge CANNOT use religion in any of their laws/decisions. Believing in a religion is NOT required in America. Also, the under god in the pledge indicates a single god. What if you believe in many gods? What if you believe in an unbiased power? I believe in a god, however, I do not believe that under god needs to be in the pledge. If you are an atheist, you cannot pledge to a nation under god, because to you it does not exist. A theist however, can pledge to a nation. Don't you agree?",Separation of state and religion,5
414721832arg6,"I am pro for the simple fact that we live in a country where 80% of the people claim to be Christian. As Christians it seems as though we have turned our backs on Jesus and his teachings. We have allowed the Lord to be taken out of almost every aspect including the Happy Holiday wishes from Wal*Mart greeters. It's time to take a stand for what we believe, Christians; UNDER GOD should stay in out Pledge!",America is based on democracy and the pledge should reflect the belief of the American majority.,5
414721863arg1,"No it should not be in the Pledge, the country was brought together on freedom of religion.",Separation of state and religion,5
414721863arg2,"No it should not be in the Pledge, the country was brought together on freedom of religion.",Removing under god would promote religious tolerance,4
414721663arg1,"The words Under God shouldn't be in the pledge because although we are one nation, not everybody wants to be under  god and not everybody believes in god. This goes against the constitution and forces religion on the citizens.",Separation of state and religion,5
414721663arg2,"The words Under God shouldn't be in the pledge because although we are one nation, not everybody wants to be under  god and not everybody believes in god. This goes against the constitution and forces religion on the citizens.",Removing under god would promote religious tolerance,4
414721694arg3,"If we can't say under God in th pledge, then Lee Greenwood shouldn't have been allowed to say God bless the U.S.A. in his song Proud To Be an American nor should the song God bless America have been written. If certain people are gonna raise a stink about one song, why not have In God We Trust removed from all currency. Look up the song America Again by Carmen and read the lyrics. He talks about american history and where America is headed if things don't change. Granted there are unbelievers, but even I have heard that some have at least taken interest and that is good start. Heaven and Earth may fall away, but the word of God abides forever.",Under God  is part of American tradition and history,4
414721652arg2,"No, of course not. The original one was good enough.  The insertion of Under God between Our nation and indivisible is symbolic of how religion divides this country.",Removing under god would promote religious tolerance,4
414721652arg3,"No, of course not. The original one was good enough.  The insertion of Under God between Our nation and indivisible is symbolic of how religion divides this country.",Under God  is part of American tradition and history,2
414721676arg1,"Separation of church and state, nothing more needs to be said.",Separation of state and religion,5
414721777arg6,"No.  Those words were intentionally left out by the Founders of this Nation and not inserted until the 1950's, I believe.  By inserting those words, we breach the separation of church and state, ostracize citizens who don't believe in a god, and essentially turn this into a 'Christian' nation.  The colonists emigrated from their homelands to get away from religious persecution and 'religious slavery'.  The words under God were intentionally left out, wrongfully inserted, and should be removed to return us to the American way.",America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721861arg1,"of COURSE it's a religious statement. america is not and has never been a christian nation, and never will be until its authority flows from god rather than the people.",Separation of state and religion,4
414721861arg3,"of COURSE it's a religious statement. america is not and has never been a christian nation, and never will be until its authority flows from god rather than the people.",Under God  is part of American tradition and history,2
414721869arg1,"Absolutely not, faith in a God should be completely personal. There should never be anything, i.e. money, constitution, pledge etc that has God anywhere on it. Faith is a choice, atheisim or being agnostic is a choice. I shouldn't have to believe in god, just as you shouldn't have to not believe in god. And I shouldn't be forced to say it in a pledge or see it in the constitution or see it on every dollar bill. To me the idea of God is ridiculous, but to the faithful he is real. Either way, this is completely personal and a personal choice. It's called freedom.",Separation of state and religion,5
414721720arg3,If u can't pledge to the flag the way our forefathers did then that is disrespectful... That flag is why you have you're rights and you don't even have to say it. Under god should remain and I'm agnostic.,Under God  is part of American tradition and history,5
414721918arg6,"The words under god should not be aloud in the pledge. It is a direct violation to the church-state seperation and our freedom of religion. Saying those words is simply and honestly stating that we are ONE NATION UNDER GOD. In fact, we are not at all. And yes we could just not say it, but speaking from a student's point of view, it makes me very uncomfortable to stay seated because I have no belief in a god.( or just stand and say nothing, etc..)  And, also, it doesn't make it right just because most of the united states is a deity believer. If most americans thought it would be cool to kill a bunch of African Americans.... you can't do it. if a majority wants to violate our religious rights... you cant do it.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
414721735arg3,"Our nation was founded by Christians seeking religious freedon. The first congresses were mostly pastors, today mostly lawyers. We should reinforce where we came from rather than the pagans, atheists, and agnostics who would go back to the old Europe our ancestors left behind.",Under God  is part of American tradition and history,4
414721650arg1,"Private schools should be allowed to require students to 1) Study creation science 2) Sacrifice goats to Shiva 3) Pledge allegiance to the god of christian mythology.  Public schools, funded by taxpayer dollars, sadly, are not allowed to require these Bronze Age rituals:  Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.  Damn constitution!",Separation of state and religion,5
414721809arg6,"Since the majority of the people in America believe in either the Jewish, Christian, or Muslim faith, and it is the majority who get to have a say, with respect to the rights of the minority, of course, the answer is a simple Yes, because first of all, this nation was founded by people who believed in the God of the Christian religion, which happens also to be the same God of the Jews, and of the Muslims.  A simple lesson in history confirms that the Jews believed in the God of Abraham, Isaac, and Jacob; the Christian religion came out of the Jewish faith and added the teachings, life, and purpose of Jesus Christ but also held to the God of Abraham, and the Muslim, who calls him Allah, also believes in the God of Abraham.  So, since the majority believe and hope that this nation, under God, is indivisible and provides liberty and justice for all, notable tenets of all three major faiths, the phrase should stand.",America is based on democracy and the pledge should reflect the belief of the American majority.,5
414721738arg3,"God should be everywhere in our great America.  Whether it's on our money, in our Pledge, prayers in school, saying Merry Christmas, the nativity scene, crosses in all cemeteries, sayings on our historical buildings.  ALL OF IT.  This United States was built on God's love  belief.  It should always be that way.",Under God  is part of American tradition and history,5
414721668arg1,"It's giving a point of Christianity. I believe in God myself but I don't see the reason of stating God in our nations anthem. Many Americans want to show their full AMERICAN spirit, but some people just don't believe in God. This country is of religious rights, giving us the right to believe in what we believe but shouldn't we get to say it in such a big deal as the national anthem?",Separation of state and religion,4
414721716arg1,"The US has freedom of religion but was founded on Christian principles. It should be included as a reminder of that heritage. The further we remove ourselves from the principles of decency that comes with a Christian element, the further the US goes into the crapper. Our politicians have no code of ethics or if they do they don't follow it. Our society is in a free fall of morals. Do we really have to ask if Under God should be part of the allegiance to the US? If you are offended, I won't be offended if you leave. Don't let the door hit you on the ass on the way back home!",Separation of state and religion,2
414721716arg3,"The US has freedom of religion but was founded on Christian principles. It should be included as a reminder of that heritage. The further we remove ourselves from the principles of decency that comes with a Christian element, the further the US goes into the crapper. Our politicians have no code of ethics or if they do they don't follow it. Our society is in a free fall of morals. Do we really have to ask if Under God should be part of the allegiance to the US? If you are offended, I won't be offended if you leave. Don't let the door hit you on the ass on the way back home!",Under God  is part of American tradition and history,5
414721709arg3,"Since the majority of the people in America believe in either the Jewish, Christian, or Muslim faith, and it is the majority who get to have a say, with respect to the rights of the minority, of course, the answer is a simple Yes, because first of all, this nation was founded by people who believed in the God of the Christian religion, which happens also to be the same God of the Jews, and of the Muslims.  A simple lesson in history confirms that the Jews believed in the God of Abraham, Isaac, and Jacob; the Christian religion came out of the Jewish faith and added the teachings, life, and purpose of Jesus Christ but also held to the God of Abraham, and the Muslim, who calls him Allah, also believes in the God of Abraham.  So, since the majority believe and hope that this nation, under God, is indivisible and provides liberty and justice for all, notable tenets of all three major faiths, the phrase should stand.",Under God  is part of American tradition and history,5
414721799arg6,"We are wasting our time trying to remove every glimpse of faith and heritage from this nation. 52 of the 55 signers of the Declaration of Independence were church members and Christians. Get over it! It is completely ridiculous to cater to the minority the way this nation has become so famous for doing. Listen, 82% of Americans say they believe in God. If you don't, don't say under God, but leave the other 82% alone.",America is based on democracy and the pledge should reflect the belief of the American majority.,5
414721926arg1,I am for the under God in the US pledge of Allegiance because this is what our country is based on and I believe that if we don't get back to stand point in our country then there is honestly going to be no hope for America.,Separation of state and religion,2
414721926arg3,I am for the under God in the US pledge of Allegiance because this is what our country is based on and I believe that if we don't get back to stand point in our country then there is honestly going to be no hope for America.,Under God  is part of American tradition and history,5
414721759arg6,"The Pledge of Allegiance reflects our morals and values. Therefore, it should reflect the ideas of all americans not 80%. This country has no national religion, so why should we promote a god. Also, Thomas Jefferson, a founding father, was athiest.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
