id,text,label,present
ma100arg6,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-health,0
ma100arg7,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-mind,0
ma100arg8,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-illegal,0
ma100arg9,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-crime,0
ma100arg10,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-addiction,0
ma100arg11,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",c-Other,0
ma101arg0,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-not_addictive,0
ma101arg1,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-medicine,0
ma101arg2,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-legal,0
ma101arg3,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-right,0
ma101arg4,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-no_damage,0
ma101arg5,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",p-Other,0
ma101arg6,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-health,0
ma101arg7,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-mind,0
ma101arg8,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-illegal,0
ma101arg9,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-crime,1
ma101arg10,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-addiction,0
ma101arg11,"Common sense does. Have you ever seen people do stupid things while under the influence of marijuana? Things they wouldn't have done otherwise? I have. But for the sake of argument lets say it doesn't cause any harmful mind altering effects (which I'm sure you'll argue next). Do you know of anyone who has been fired for marijuana use? There's a lot of companies that would fire people for that even if it wasn't illegal. When people don't have an income, they get desperate, especially when they want more money for their next fix. Desperate people do desperate (and often illegal) things.",c-Other,1
ma102arg0,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-not_addictive,1
ma102arg1,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-medicine,0
ma102arg2,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-legal,0
ma102arg3,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-right,0
ma102arg4,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-no_damage,0
ma102arg5,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",p-Other,0
ma102arg6,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-health,0
ma102arg7,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-mind,0
ma102arg8,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-illegal,0
ma102arg9,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-crime,0
ma102arg10,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-addiction,0
ma102arg11,"Of course it should, it's less harmful than Alcohol or Ambien.   What's good is that more and more politicians are supporting the idea of a debate on the issue (well, Arnold Schwarzaneggar is the most vocal right now). He doesn't say legalize it, but he does believe it's time to look into the situation and see if it should be legalized. Way better than pussy ass Obama who won't even discuss the reasons why he's against legalizing it. All he says is ""that's not gonna happen"". Maybe we should have gotten rid of that Born in America thing and voted in The Governator.",c-Other,0
ma103arg0,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-not_addictive,0
ma103arg1,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-medicine,0
ma103arg2,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-legal,0
ma103arg3,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-right,0
ma103arg4,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-no_damage,0
ma103arg5,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",p-Other,0
ma103arg6,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-health,0
ma103arg7,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-mind,1
ma103arg8,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-illegal,1
ma103arg9,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-crime,0
ma103arg10,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-addiction,1
ma103arg11,"Isn't that funny...I don't think your question had anything to do with HEMP being useful. I used to be a weed smoker in the 60's, 70's and 80's along with other things offered along the way. I never really drank so pot was a miracle to me. I've thought about it for many years and today we know a great deal about what we inhale or ingest than we did back then.  After all that wonderful thinking I came to the conclusion that weed should not be legalized because of the abuse factor and not for any other reason. If I was still out there partying like I did years ago, I'd probably enjoy a few tokes for a nice buzz and although marijuana itself does NOT lead to other drugs, in the wrong hands a person with an addictive mindset/personality WILL go past the joint or two over the week-end. Pot laced with what have you will send you reeling and there is plenty of stuff out there to lace it with. For the safety of all, I would say no, don't legalize it with the exception of those who are terminally ill and have been prescribed it to calm them and take away some of the pain.",c-Other,0
ma104arg0,OK for 1) We would not abuse the privilge.....watabout us tht useit for medical purposes?....Cancer or enfisema or eating disorders or cant sleep,p-not_addictive,0
ma104arg1,OK for 1) We would not abuse the privilge.....watabout us tht useit for medical purposes?....Cancer or enfisema or eating disorders or cant sleep,p-medicine,1
ma104arg2,OK for 1) We would not abuse the privilge.....watabout us tht useit for medical purposes?....Cancer or enfisema or eating disorders or cant sleep,p-legal,0
ma104arg3,OK for 1) We would not abuse the privilge.....watabout us tht useit for medical purposes?....Cancer or enfisema or eating disorders or cant sleep,p-right,0
ma104arg4,OK for 1) We would not abuse the privilge.....watabout us tht useit for medical purposes?....Cancer or enfisema or eating disorders or cant sleep,p-no_damage,0
